id,score
0,3.5
1,5.5
2,5.0
3,2.5
4,5.0
5,4.5
6,0.5
7,3.0
8,3.0
9,1.5
10,3.5
11,3.5
12,1.0
13,2.0
14,4.5
15,1.5
16,1.0
17,2.5
18,2.5
19,3.0
20,4.0
21,4.0
22,4.0
23,4.0
24,3.0
25,4.0
26,3.0
27,2.5
28,3.5
29,3.5
30,3.0
31,2.0
32,4.5
33,3.5
34,3.5
35,2.5
36,3.5
37,2.0
38,3.0
39,3.5
40,3.5
41,4.0
42,3.0
43,5.0
44,3.0
45,4.0
46,3.0
47,4.0
48,3.0
49,4.0
50,3.5
51,3.5
52,2.5
53,5.0
54,5.0
55,4.0
56,2.0
57,4.0
58,4.5
59,5.0
60,3.5
61,5.0
62,4.5
63,4.0
64,2.0
65,4.5
66,2.5
67,4.5
68,4.0
69,4.0
70,5.0
71,3.0
72,4.0
73,5.5
74,4.5
75,3.5
76,3.0
77,3.0
78,2.0
79,5.5
80,3.5
81,5.0
82,4.5
83,4.0
84,5.5
85,4.5
86,5.5
87,3.0
88,4.0
89,4.5
90,3.5
91,3.5
92,5.5
93,3.5
94,3.0
95,4.5
96,3.0
97,3.5
98,2.5
99,4.5
100,5.0
101,4.0
102,4.0
103,3.5
104,1.0
105,5.5
106,4.5
107,4.0
108,3.5
109,1.5
110,3.5
111,3.5
112,3.0
113,4.0
114,4.0
115,4.0
116,3.5
117,5.0
118,4.0
119,4.5
120,3.5
121,3.5
122,3.0
123,1.5
124,3.5
125,4.5
126,5.0
127,3.0
128,3.5
129,4.0
130,5.0
131,3.5
132,3.0
133,4.5
134,3.5
135,5.0
136,4.5
137,5.0
138,4.0
139,6.0
140,4.0
141,4.0
142,4.0
143,2.5
144,4.5
145,2.5
146,4.0
147,3.5
148,3.5
149,4.0
150,4.5
151,3.5
152,3.5
153,3.5
154,3.5
155,5.0
156,5.0
157,2.5
158,2.0
159,1.5
160,3.0
161,3.5
162,4.5
163,1.0
164,4.5
165,3.0
166,3.5
167,5.5
168,2.5
169,4.0
170,3.0
171,3.0
172,4.5
173,4.0
174,3.5
175,4.5
176,5.0
177,3.5
178,2.5
179,4.5
180,1.5
181,3.0
182,4.0
183,1.5
184,3.5
185,3.5
186,4.0
187,3.5
188,2.5
189,0.5
190,3.5
191,3.0
192,5.5
193,4.0
194,3.0
195,3.0
